ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,employees,revenues,profits,hq zip,website,fortune 500 rank,revenue change,profit change,assets,hq state
149,Vodafone Group Plc,VOD,Telecommunications,Telecommunications,"Newbury, Britain",The Connection,18,Vittorio Colao,111556,58611,-6904,RG14 2FN,http://www.vodafone.com,,-5,,165420,
150,Unilever N.V./ Unilever PLC,UL,Household and Personal Products,Household Products,"London, Britain",100 Victoria Embankment,23,Paul Polman,168832,58292,5732.7,EC4Y 0DY,http://www.unilever.com,,-1.4,5.3,59512,
151,Banco do Brasil S.A.,BDORY,Banks: Commercial and Savings,Financials,"Brasilia, Brazil",Setor de Autarquias Norte,23,Paulo Rogerio Caffarelli,100622,58093,2013.8,70040-912,http://www.bb.com.br,,-13.4,-52.3,426416,
152,Petroleos Mexicanos,,"Mining, Crude-Oil Production",Energy,"Mexico City, Mexico",Av. Marina Nacional 329,23,Jose Antonio Gonzalez Anaya,125689,57774,-10256.3,11300,http://www.pemex.com,,-21.4,,113115,
153,"Telefonica, S.A.",TEF,Telecommunications,Telecommunications,"Madrid, Spain",Distrito Telefonica,23,Jose Maria Alvarez-Pallete Lopez,127323,57544,2619.7,28050,http://www.telefonica.com,,-5.5,283.4,130396,
154,Banco Bradesco S.A.,BBD,Banks: Commercial and Savings,Financials,"Osasco, Brazil",Cidade de Deus,21,Luiz Carlos Trabuco Cappi,94541,57443,5127.9,06029-900,http://www.bradesco.com.br,,31.3,-5.7,366418,
155,United Technologies Corporation,UTX,Aerospace and Defense,Aerospace & Defense,"Farmington, CT",10 Farm Springs Rd.,23,Gregory J. Hayes,201600,57244,5055,6032,http://www.utc.com,50,-6.2,-33.6,89706,Connecticut
156,ArcelorMittal,MT,Metals,Materials,"Luxembourg, Luxembourg",,13,Lakshmi N. Mittal,198517,56791,1779,1160,http://www.arcelormittal.com,,-10.7,,75142,
157,Renault S.A.,RNLSY,Motor Vehicles and Parts,Motor Vehicles & Parts,"Boulogne-Billancourt, France",13-15 Quai Le Gallo,23,Carlos Ghosn,124849,56667,3780.9,92100,http://www.groupe.renault.com,,12.7,20.7,107681,
158,(OJSC) Rosneft Oil Company,OJSCY,Petroleum Refining,Energy,"Moscow, Russia",26/1 Sofiyskaya Embankment,12,Igor I. Sechin,295800,56553,2705.1,115035,http://www.rosneft.com,,-12.7,-53.4,180756,
159,"Shandong Weiqiao Pioneering Group Co., Ltd.",,Textiles,Industrials,"Shandong, China","1 Weifang Rd., Zouping",6,Zhang Shiping,135393,56174,1217.2,256200,http://www.weiqiaocy.com,,5.9,8.6,31641,
160,Marathon Petroleum Corporation,MPC,Petroleum Refining,Energy,"Findlay, OH",539 S. Main St.,6,Gary R. Heminger,44460,55858,1174,45840,http://www.marathonpetroleum.com,51,-13.5,-58.8,44413,Ohio
161,The Walt Disney Company,DIS,Entertainment,Media,"Burbank, CA",500 S. Buena Vista St.,23,Robert A. Iger,195000,55632,9391,91521,http://www.disney.com,52,6,12,92033,California
