ranking,full name,ticker,industry,sector,hq location,hq address,years on list,ceo,eps,employees,revenues,profits,hq zip,website,market value,global 500 rank,revenue change,profit change,hq state
800,"TTM Technologies, Inc.",TTMI,Semiconductors and Other Electronic Components,Technology,"Costa Mesa, CA",1665 Scenic Ave.,,Thomas T. Edman,0.34,28360,2533,34.9,92626,http://www.ttm.com,1641,,20.9,,CA
801,"Prologis, Inc.",PLD,Real Estate,Financials,"San Francisco, CA","Pier 1, Bay 1",,Hamid R. Moghadam,2.27,1530,2533,1209.9,94111,http://www.prologis.com,27474,,15.3,39.2,CA
802,"Twitter, Inc.",TWTR,Internet Services and Retailing,Technology,"San Francisco, CA",1355 Market St.,,Jack Dorsey,-0.65,3583,2530,-456.9,94103,http://www.twitter.com,10867,,14,,CA
803,Kemper Corporation,KMPR,Insurance: Property and Casualty (Stock),Financials,"Chicago, IL",1 E. Wacker Dr.,,Joseph P. Lacher Jr.,0.33,5750,2522,16.8,60601,http://www.kemper.com,2047,,7.7,-80.4,IL
804,"Valmont Industries, Inc.",VMI,Metals,Materials,"Omaha, NE",1 Valmont Plaza,,Mogens C. Bay,7.63,10552,2522,173.2,68154,http://www.valmont.com,3508,,-3.7,331.8,NE
805,Crestwood Equity Partners LP,CEQP,Energy,Energy,"Houston, TX",700 Louisiana St.,,Robert G Phillips,-3.55,1219,2521,-216.3,77002,http://www.crestwoodlp.com,1787,,-4.3,,TX
806,"Applied Industrial Technologies, Inc.",AIT,Wholesalers: Diversified,Wholesalers,"Cleveland, OH",1 Applied Plaza,,Neil A. Schrimsher,0.75,5569,2519,29.6,44115,http://www.applied.com,2411,,-8.4,-74.4,OH
807,VCA Inc.,WOOF,Health Care: Medical Facilities,Health Care,"Los Angeles, CA",12401 W. Olympic Blvd.,,Robert L. Antin,2.56,14700,2517,209.2,90064,http://www.vca.com,7433,,18,-0.9,CA
808,Granite Construction Incorporated,GVA,"Engineering, Construction",Engineering & Construction,"Watsonville, CA",585 W. Beach St.,,James H. Roberts,1.42,3400,2515,57.1,95076,http://www.graniteconstruction.com,1989,,6.1,-5.6,CA
809,Vornado Realty Trust,VNO,Real Estate,Financials,"New York, NY",888 Seventh Ave.,,Steven Roth,4.34,4225,2510,906.9,10019,http://www.vno.com,18969,,-0.8,19.3,NY
810,Mettler-Toledo International Inc.,MTD,"Scientific, Photographic and Control Equipment",Technology,"Columbus, OH",1900 Polaris Pkwy.,,Olivier A. Filliol,14.22,13700,2508,384.4,43240,http://www.mt.com,12406,,4.7,8.9,OH
811,"A. Schulman, Inc.",SHLM,Chemicals,Chemicals,"Fairlawn, OH",3637 Ridgewood Rd.,,Joseph M. Gingo,-12.44,4800,2496,-357.1,44333,http://www.aschulman.com,927,,4.3,-1441.1,OH
812,"Wolverine World Wide, Inc.",WWW,Apparel,Apparel,"Rockford, MI",9341 Cortland Dr. N.E.,,Blake W. Krueger,0.89,5860,2495,87.7,49351,http://www.wolverineworldwide.com,2421,,-7.3,-28.6,MI
813,Graham Holdings Company,GHC,Education,Business Services,"Arlington, VA",1300 N. 17th St.,,Timothy J. O'Shaughnessy,29.8,15813,2482,168.6,22209,http://www.ghco.com,3352,,-16.8,,VA
814,"Chico's FAS, Inc.",CHS,Specialty Retailers: Apparel,Retailing,"Fort Myers, FL",11215 Metro Pkwy.,,Shelley G. Broader,0.69,13650,2476,91.2,33966,http://www.chicosfas.com,1818,,-6.3,4588,FL
815,"Domino's Pizza, Inc.",DPZ,Food Services,"Hotels, Restaurants & Leisure","Ann Arbor, MI",30 Frank Lloyd Wright Dr.,,J. Patrick Doyle,4.3,14100,2473,214.7,48105,http://www.dominos.com,8853,,11.6,11.4,MI
816,Zions Bancorporation,ZION,Commercial Banks,Financials,"Salt Lake City, UT",1 S. Main St.,,Harris H. Simmons,1.99,10057,2470,469.1,84133,http://www.zionsbancorporation.com,8502,,11.7,51.6,UT
817,"Southwest Gas Holdings, Inc.",SWX,Utilities: Gas and Electric,Energy,"Las Vegas, NV",5241 Spring Mountain Rd.,,John P. Hester,3.18,6277,2461,152,89150,http://www.swgasholdings.com,3942,,-0.1,9.9,NV
818,Tops Holding II Corporation,,Food and Drug Stores,Food & Drug Stores,"Williamsville, NY",6363 Main St.,,Frank Curci,,14800,2457,-44.6,14221,http://www.topsmarkets.com,,,-0.6,,NY
819,"Hawaiian Holdings, Inc.",HA,Airlines,Transportation,"Honolulu, HI",3375 Koapaka St.,,Mark B. Dunkerley,4.36,6199,2451,235.4,96819,http://www.hawaiianairlines.com,2491,,5.7,28.9,HI
